Word,Frequency
fully,8
nature,8
stone,8
dying,8
homies,8
mics,8
sight,8
fifth,8
los,8
fell,8
chains,8
tech,8
youth,8
bill,8
trick,8
blessed,8
1,8
cross,8
numbers,8
sin,8
whoever,8
cuz,8
weather,8
died,8
sippin',8
ridiculous,8
shootin',8
code,8
diamond,8
throat,8
breakin',8
screw,8
bro,8
tough,8
invisible,8
large,8
children,8
x,8
where's,8
walkin',8
felt,8
beneath,8
ripped,8
meaning,8
mood,8
crash,8
speed,8
eight,8
dust,8
ran,8
nuts,8
van,8
asked,8
pill,8
knife,8
rippin',8
loaded,8
bunch,8
hopin',8
tool,8
flew,8
knows,8
demon,8
religion,8
workin',8
key,8
backwards,8
trapped,8
tank,8
along,8
eatin',8
able,8
ego,8
popped,8
action,8
alive,8
gucci,8
dudes,8
chyeah,8
scared,7
twenty,7
heads,7
witness,7
flash,7
clever,7
wet,7
enter,7
route,7
cards,7
shut,7
plot,7
bell,7
effect,7
afraid,7
soap,7
ease,7
police,7
circles,7
barely,7
stare,7
cannot,7
wig,7
truck,7
cry,7
deck,7
victim,7
clap,7
closer,7
sucker,7
gods,7
finish,7
tone,7
stove,7
lies,7
slap,7
dig,7
looks,7
tonight,7
passed,7
speech,7
stock,7
bands,7
stash,7
admit,7
digits,7
throne,7
shook,7
promise,7
bringin',7
feds,7
smart,7
quarter,7
drink,7
figures,7
frontin',7
slice,7
slide,7
happened,7
gat,7
bills,7
drunk,7
laced,7
instrumental,7
praise,7
pays,7
callin',7
artists,7
lyrically,7
handle,7
skull,7
owe,7
crown,7
desert,7
rules,7
apple,7
dyin',7
pounds,7
snake,7
pipe,7
finished,7
swag,7
teeth,7
suicide,7
sword,7
foul,7
bass,7
vicious,7
standing,7
lane,7
court,7
image,7
fightin',7
leavin',7
fish,7
fence,7
cali,7
rains,7
angeles,7
smoked,7
powder,7
foes,7
trump,7
blew,7
leather,7
visit,7
divine,7
grind,7
bat,7
8,7
strip,7
upper,7
text,7
lsd,7
load,7
daddy,7
speaking,7
self,7
blunt,7
tune,7
man's,7
eagle,7
remain,7
writing,7
losin',7
drip,7
pretend,7
risk,7
wisdom,7
beautiful,7
passion,7
nicest,7
target,7
nigga's,7
drama,7
copy,7
tec,7
tap,7
pour,7
sort,7
finally,7
building,7
john,7
bong,7
jewelry,7
stayed,7
average,7
balloon,7
meets,7
nut,7
bags,7
yellow,7
j,7
cup,7
sharp,7
shoulders,7
written,7
wash,7
carry,7
vest,7
haven't,7
spray,7
especially,7
seat,7
tear,7
enjoy,7
looked,7
fool,7
group,7
shout,7
wizard,7
stories,7
apart,7
trees,7
dollars,7
radio,7
shoe,7
secret,7
hated,7
attention,7
cousin,7
stones,7
waitin',7
chasin',7
brooklyn,7
college,7
y’all,7
charlatans,7
outdone,7
prepare,6
row,6
grand,6
turns,6
cheddar,6
ahead,6
represent,6
o,6
needed,6
kickin',6
cease,6
conversation,6
odds,6
threw,6
actual,6
bump,6
vivid,6
rope,6
grade,6
games,6
pit,6
serve,6
caps,6
boys,6
prince,6
stiff,6
cell,6
stars,6
guard,6
toes,6
would've,6
bones,6
original,6
i’ll,6
coupe,6
thе,6
dial,6
blown,6
dry,6
styles,6
ridin',6
daily,6
bumpin',6
mark,6
captain,6
slash,6
michael,6
spent,6
belt,6
askin',6
slippin',6
chips,6
buck,6
depends,6
lettin',6
haters,6
everywhere,6
necks,6
threat,6
bound,6
hi,6
shoulda,6
blocks,6
rocks,6
lack,6
closet,6
upon,6
crowd,6
rude,6
terror,6
army,6
leaving,6
memories,6
north,6
order,6
chip,6
beach,6
10,6
prick,6
pump,6
creep,6
shatter,6
jordan,6
curse,6
coat,6
lays,6
joke,6
speaker,6
weight,6
philly,6
river,6
bringing,6
anybody,6
orange,6
nope,6
trippin',6
paul,6
solid,6
lives,6
beats,6
consider,6
early,6
starts,6
contact,6
spoke,6
broads,6
flight,6
bark,6
defense,6
rob,6
stole,6
dare,6
knee,6
itself,6
dress,6
pitch,6
scripts,6
stab,6
smacked,6
seein',6
remains,6
torn,6
short,6
cloud,6
pro,6
fools,6
de,6
logic,6
child,6
focused,6
sugar,6
flippin',6
given,6
weapon,6
error,6
thin,6
nemesis,6
lab,6
throwing,6
stuff,6
violent,6
quite,6
chris,6
lights,6
news,6
showed,6
moves,6
punk,6
jet,6
jam,6
f,6
writin',6
prodigy,6
everyone,6
cha,6
isis,6
buried,6
itchin',6
mob,6
store,6
path,6
public,6
world's,6
became,6
forgotten,6
luck,6
smoking,6
ceiling,6
acting,6
momma,6
mary,6
covered,6
crackers,6
smooth,6
served,6
putting,6
proper,6
inhale,6
santa,6
brr,6
tree,6
frank,6
preach,6
ow,6
gray,6
duck,6
strange,6
marshall,6
often,6
dr,6
calling,6
grown,6
jumped,6
grew,6
toe,6
index,6
percent,6
michigan,6
babies,6
asses,6
freak,6
mention,6
peep,6
smell,6
heater,6
actin',6
pew,6
kelly,6
motion,6
absurd,6
odd,6
eminem,6
relate,6
hidden,6
career,6
skip,6
judge,6
chasing,6
sheets,6
greatest,6
pause,6
whoop,6
presence,6
g's,6
person,6
filled,6
e,6
suit,6
brains,6
froze,6
physical,6
crews,6
sneakers,6
teaching,6
minds,5
prayer,5
fashion,5
bastards,5
smashed,5
hurts,5
syllables,5
talent,5
appeal,5
movement,5
closed,5
letters,5
quicker,5
vibe,5
roots,5
views,5
mountain,5
lip,5
clean,5
meat,5
tie,5
cough,5
trade,5
k,5
rare,5
underneath,5
coffin,5
soldiers,5
leaf,5
source,5
science,5
diamonds,5
wheels,5
dawn,5
murdering,5
coward,5
ripping,5
pad,5
strap,5
clown,5
bricks,5
wings,5
louis,5
breakfast,5
plug,5
sipping,5
listening,5
gorgeous,5
life's,5
natural,5
socks,5
asshole,5
basically,5
wrapped,5
dice,5
genius,5
capital,5
shell,5
goal,5
orbit,5
pow,5
shorty,5
knockin',5
rings,5
settle,5
uh-huh,5
catchin',5
diss,5
mil',5
checkin',5
starin',5
torch,5
backs,5
booty,5
hook,5
pardon,5
unique,5
grabbin',5
flex,5
keys,5
harlem,5
surprise,5
rough,5
toast,5
however,5
slay,5
spinnin',5
minutes,5
biggie,5
knots,5
laws,5
savage,5
bless,5
stomp,5
rose,5
freeze,5
blaze,5
fair,5
pickin',5
gives,5
holds,5
regardless,5
bible,5
surround,5
boogie,5
slit,5
shooting,5
levels,5
pun,5
nights,5
frame,5
bottles,5
hah,5
penthouse,5
cost,5
shade,5
brown,5
blows,5
forehead,5
latin,5
promised,5
marijuana,5
taken,5
fakin',5
